PACKET_ID,PACKET_TYPE,CONTROL_PACKET_TYPE/APP_NAME,DESTINATION_ID,TRANSMITTER_ID,RECEIVER_ID,SEQ_NO,isSyn,isAck,isFin,SEGMENT_LEN
0,Control_Packet,TCP_SYN,NODE-1,NODE-2,ROUTER-3,250000,TRUE,FALSE,FALSE,0
0,Control_Packet,TCP_SYN,NODE-1,ROUTER-3,NODE-1,250000,TRUE,FALSE,FALSE,0
0,Control_Packet,TCP_SYNACK,NODE-2,NODE-1,ROUTER-3,250005,TRUE,TRUE,FALSE,0
0,Control_Packet,TCP_SYNACK,NODE-2,ROUTER-3,NODE-2,250005,TRUE,TRUE,FALSE,0
0,Control_Packet,TCP_ACK,NODE-1,NODE-2,ROUTER-3,250001,FALSE,TRUE,FALSE,0
0,Control_Packet,TCP_ACK,NODE-1,ROUTER-3,NODE-1,250001,FALSE,TRUE,FALSE,0
0,HTTP,HTTP_REQUEST,NODE-1,NODE-2,ROUTER-3,250001,FALSE,FALSE,FALSE,750
0,HTTP,HTTP_REQUEST,NODE-1,ROUTER-3,NODE-1,250001,FALSE,FALSE,FALSE,750
0,Control_Packet,TCP_ACK,NODE-2,NODE-1,ROUTER-3,250006,FALSE,TRUE,FALSE,0
0,Control_Packet,TCP_ACK,NODE-2,ROUTER-3,NODE-2,250006,FALSE,TRUE,FALSE,0
1,HTTP,APP1_HTTP,NODE-2,NODE-1,ROUTER-3,250006,FALSE,FALSE,FALSE,1460
1,HTTP,APP1_HTTP,NODE-2,NODE-1,ROUTER-3,251466,FALSE,FALSE,FALSE,1460
1,HTTP,APP1_HTTP,NODE-2,ROUTER-3,NODE-2,250006,FALSE,FALSE,FALSE,1460
0,Control_Packet,TCP_ACK,NODE-1,NODE-2,ROUTER-3,250751,FALSE,TRUE,FALSE,0
0,Control_Packet,TCP_ACK,NODE-1,ROUTER-3,NODE-1,250751,FALSE,TRUE,FALSE,0
1,HTTP,APP1_HTTP,NODE-2,NODE-1,ROUTER-3,252926,FALSE,FALSE,FALSE,1460
1,HTTP,APP1_HTTP,NODE-2,ROUTER-3,NODE-2,251466,FALSE,FALSE,FALSE,1460
0,Control_Packet,TCP_ACK,NODE-1,NODE-2,ROUTER-3,250751,FALSE,TRUE,FALSE,0
0,Control_Packet,TCP_ACK,NODE-1,ROUTER-3,NODE-1,250751,FALSE,TRUE,FALSE,0
1,HTTP,APP1_HTTP,NODE-2,NODE-1,ROUTER-3,254386,FALSE,FALSE,FALSE,1460
1,HTTP,APP1_HTTP,NODE-2,ROUTER-3,NODE-2,252926,FALSE,FALSE,FALSE,1460
0,Control_Packet,TCP_ACK,NODE-1,NODE-2,ROUTER-3,250751,FALSE,TRUE,FALSE,0
0,Control_Packet,TCP_ACK,NODE-1,ROUTER-3,NODE-1,250751,FALSE,TRUE,FALSE,0
1,HTTP,APP1_HTTP,NODE-2,NODE-1,ROUTER-3,255846,FALSE,FALSE,FALSE,1460
1,HTTP,APP1_HTTP,NODE-2,ROUTER-3,NODE-2,254386,FALSE,FALSE,FALSE,1460
0,Control_Packet,TCP_ACK,NODE-1,NODE-2,ROUTER-3,250751,FALSE,TRUE,FALSE,0
0,Control_Packet,TCP_ACK,NODE-1,ROUTER-3,NODE-1,250751,FALSE,TRUE,FALSE,0
1,HTTP,APP1_HTTP,NODE-2,NODE-1,ROUTER-3,257306,FALSE,FALSE,FALSE,1460
1,HTTP,APP1_HTTP,NODE-2,ROUTER-3,NODE-2,255846,FALSE,FALSE,FALSE,1460
0,Control_Packet,TCP_ACK,NODE-1,NODE-2,ROUTER-3,250751,FALSE,TRUE,FALSE,0
0,Control_Packet,TCP_ACK,NODE-1,ROUTER-3,NODE-1,250751,FALSE,TRUE,FALSE,0
1,HTTP,APP1_HTTP,NODE-2,NODE-1,ROUTER-3,258766,FALSE,FALSE,FALSE,1460
1,HTTP,APP1_HTTP,NODE-2,ROUTER-3,NODE-2,257306,FALSE,FALSE,FALSE,1460
0,Control_Packet,TCP_ACK,NODE-1,NODE-2,ROUTER-3,250751,FALSE,TRUE,FALSE,0
0,Control_Packet,TCP_ACK,NODE-1,ROUTER-3,NODE-1,250751,FALSE,TRUE,FALSE,0
1,HTTP,APP1_HTTP,NODE-2,NODE-1,ROUTER-3,260226,FALSE,FALSE,FALSE,1460
1,HTTP,APP1_HTTP,NODE-2,ROUTER-3,NODE-2,258766,FALSE,FALSE,FALSE,1460
0,Control_Packet,TCP_ACK,NODE-1,NODE-2,ROUTER-3,250751,FALSE,TRUE,FALSE,0
0,Control_Packet,TCP_ACK,NODE-1,ROUTER-3,NODE-1,250751,FALSE,TRUE,FALSE,0
1,HTTP,APP1_HTTP,NODE-2,NODE-1,ROUTER-3,261686,FALSE,FALSE,FALSE,1460
1,HTTP,APP1_HTTP,NODE-2,ROUTER-3,NODE-2,260226,FALSE,FALSE,FALSE,1460
0,Control_Packet,TCP_ACK,NODE-1,NODE-2,ROUTER-3,250751,FALSE,TRUE,FALSE,0
0,Control_Packet,TCP_ACK,NODE-1,ROUTER-3,NODE-1,250751,FALSE,TRUE,FALSE,0
1,HTTP,APP1_HTTP,NODE-2,NODE-1,ROUTER-3,263146,FALSE,FALSE,FALSE,1460
1,HTTP,APP1_HTTP,NODE-2,ROUTER-3,NODE-2,261686,FALSE,FALSE,FALSE,1460
0,Control_Packet,TCP_ACK,NODE-1,NODE-2,ROUTER-3,250751,FALSE,TRUE,FALSE,0
0,Control_Packet,TCP_ACK,NODE-1,ROUTER-3,NODE-1,250751,FALSE,TRUE,FALSE,0
